sample_id,region,PF,R_ohm,L_H,fsw_Hz,StopTime_s,analysisWindow_s,Vout_rms_V,Vout_fund_rms_V,Vout_THD_fft_pct,THD_block_pct,THD_used_pct,Vout_error_pct,Vout_valid_2pct,Irms_A,IL_rms_A,IL_ripple_rms_A,IL_ripple_rms_pct_of_Irms,Pac_W,Pdc_W,Psw_4mos_W,Pcond_4mos_W,Pmos_total_4mos_W,R_L_filter_ohm,P_L_filter_W,eta_total_mosfet_pct,eta_with_filter_pct,Tj_final_C,Good_condition,Strict_condition
448,normal,0.7,20,0.0649482077222618,12000,0.25,0.2,218.565429312505,218.537536690291,0.22349489280311,0.768160558062863,0.768160558062863,0.664756049867712,1,7.38737261810567,6.91353868355258,2.74694042635755,37.1842679171901,1170.25428192018,1205.9555069128,5.37731984100564,3.40468938256997,8.78200922357561,0.012,0.573564205547735,99.2551536123577,99.2068925681913,25.1070548859245,0,0
449,normal,0.7,20,0.0649482077222618,14000,0.25,0.2,218.628274850979,218.612789925152,0.157248768292788,0.939521824006425,0.939521824006425,0.630550034021811,1,7.39199772361306,6.75801463449721,2.32351967042736,31.4329056542467,1171.0296528464,1203.04025204629,5.72805366924284,3.36602317307113,9.09407684231397,0.012,0.548049141600942,99.2293963240013,99.1833356097096,25.1091857988336,0,0
450,normal,0.7,20,0.0649482077222618,16000,0.25,0.2,218.825797345693,218.786516225482,0.186565476041782,0.259892384075499,0.259892384075499,0.551583533871939,1,7.39671544059499,6.59666832963159,1.77989742028351,24.0633485846297,1173.15206815834,1201.31092543103,6.58682311254084,3.22794736387592,9.81477047641676,0.012,0.522192396613973,99.1703258150716,99.1265687638843,25.1143944737481,0,0
451,R7_R8_R12_R15_R20_R30_f17_f18_f19,0.7,20,0.0649482077222618,17000,0.25,0.2,218.298488272512,218.374835432221,0.291470904275351,0.790580889798425,0.790580889798425,0.738711167172154,1,7.36373203557616,6.78553246399436,2.42803948075209,32.9729472639904,1166.48209776845,1197.82817397008,7.1511698348833,3.3866746397282,10.5378444746115,0.012,0.552521409839057,99.1047012802069,99.0582009832289,25.1237342658898,0,0
452,R7_R8_R12_R15_R20_R30_f17_f18_f19,0.7,20,0.0649482077222618,18000,0.25,0.2,217.625028403298,217.631552094544,0.372089952672035,1.1282627582572,1.1282627582572,1.07656722975263,1,7.3500696848799,6.95715679623138,2.91693327217327,39.6857907099003,1159.79260358125,1193.91987797703,7.51721018435578,3.58324667969693,11.1004568640527,0.012,0.580824368248183,99.0519666364893,99.0028560274598,25.1276742584192,0,0
453,R7_R8_R12_R15_R20_R30_f17_f18_f19,0.7,20,0.0649482077222618,19000,0.25,0.2,217.862370187429,217.94105561576,0.299987069446389,1.19087989972563,1.19087989972563,0.935883811018037,1,7.36017571303314,6.92342906576503,2.81877813602994,38.2977016572926,1161.87773602958,1196.25901739521,7.77111365125584,3.59278518716738,11.3638988384232,0.012,0.57520644034416,99.0314101971243,98.9828817530459,25.1293506628738,0,0
454,normal,0.7,20,0.0649482077222618,20000,0.25,0.2,217.83655678078,217.672119381869,0.397761178796152,1.2894190330223,1.2894190330223,1.0581275536961,1,7.35498299501123,6.82890894989426,2.57950860911989,35.0715781514319,1160.61849935627,1192.84713187529,8.45187481975038,3.53225315135247,11.9841279711028,0.012,0.559607969351351,98.9779889886127,98.9307756793517,25.1341084223976,0,0
455,normal,0.7,20,0.0649482077222618,22000,0.25,0.2,218.34366072961,218.225371868409,0.272886669247706,1.39725162221834,1.39725162221834,0.806649150723395,1,7.39929266538422,6.63967506419951,1.98153010799943,26.779993677903,1170.59543318267,1197.71511316058,8.8212669406417,3.32748849358581,12.1487554342275,0.012,0.529023419497833,98.9728332169246,98.9285839715828,25.1356649528387,0,0
456,normal,0.7,20,0.0649482077222618,24000,0.25,0.2,219.176556216555,219.167374026142,0.0743772803718385,0.161388098226198,0.161388098226198,0.378466351753727,1,7.40857241509071,6.42253259759877,0.877110583345978,11.839130863584,1176.88474793463,1200.08419022487,9.91659975961939,3.18765202144325,13.1042517810626,0.012,0.494987099606625,98.8987921918443,98.8576714150479,25.1438937387024,1,1
457,normal,0.8,20,0.0477464829275686,2000,0.25,0.2,201.78947135131,199.586453465007,2.73903360553013,12.9896501379165,12.9896501379165,9.27888478863304,0,7.77896367332316,14.4775669672644,12.6548117924188,162.679918866528,1285.08995510141,1362.56988304377,2.77928087735149,15.2259920105832,18.0052728879347,0.012,2.5151993434995,98.6182688339887,98.4282852065333,25.1884566787568,0,0
458,normal,0.8,20,0.0477464829275686,6000,0.25,0.2,217.130281258322,217.105591573018,0.559002730702158,1.49979079295886,1.49979079295886,1.31564019408271,1,8.37677235476747,8.37372953560272,3.44111708305883,41.0792717925585,1507.99110396517,1547.9558645339,3.98443427030258,5.01564002743059,9.00007429773317,0.012,0.841432156025105,99.4067154491934,99.3516079186728,25.1089662165414,0,0
459,normal,0.8,20,0.0477464829275686,10000,0.25,0.2,217.918574032962,217.950097771453,0.345589545987734,0.951468860024716,0.951468860024716,0.931773740248642,1,8.40440175525456,8.15026726963315,2.77793853647259,33.0533762826816,1518.94850046863,1554.56409557086,5.64690358669552,4.8177325833179,10.4646361700134,0.012,0.79712227879744,99.3157744026567,99.2640384951557,25.1215051149359,0,0
460,normal,0.8,20,0.0477464829275686,12000,0.25,0.2,218.363187408924,218.352639856465,0.283089256798162,0.857331235973689,0.857331235973689,0.74880006524309,1,8.42468023539107,8.1501373168489,2.73393289019022,32.4514736916102,1525.67159231456,1562.73867773649,5.87074338948979,4.87016636842608,10.7409097579159,0.012,0.797096859401916,99.3009097658716,99.2494187763767,25.1239647970773,0,0
461,normal,0.8,20,0.0477464829275686,14000,0.25,0.2,218.662681480602,218.63157505358,0.181836234500965,0.617995674238191,0.617995674238191,0.622011339282021,1,8.43756306282015,7.99884449920701,2.20690257236677,26.1556868486283,1530.09021254925,1563.2112900463,6.3928395341162,4.68219767081198,11.0750372049282,0.012,0.76777815986993,99.2813854836985,99.2319500814624,25.1271982431168,0,0
462,normal,0.8,20,0.0477464829275686,16000,0.25,0.2,218.912086713772,218.912108975355,0.0713824138453637,0.425821949917569,0.425821949917569,0.494495920293151,1,8.44055999065205,7.89100992259658,1.73738122839916,20.583719922888,1532.06943650193,1562.5074354496,7.40500218860066,4.55140700940936,11.95640919801,0.012,0.747216451182212,99.2256341283853,99.1776380647458,25.1350459137316,0,0
463,R7_R8_R12_R15_R20_R30_f17_f18_f19,0.8,20,0.0477464829275686,17000,0.25,0.2,218.34523761903,218.288381407444,0.249618160742936,0.637396285962531,0.637396285962531,0.778008451161893,1,8.42578437844669,8.01760462438284,2.3131653435648,27.4534125212357,1525.5933759432,1557.46660111591,7.94798936973306,4.76127140621849,12.7092607759516,0.012,0.771383806955101,99.1738127158738,99.1241068068774,25.142161133906,0,0
464,R7_R8_R12_R15_R20_R30_f17_f18_f19,0.8,20,0.0477464829275686,18000,0.25,0.2,217.008540197265,217.057338238596,0.6182889116535,1.35289731309533,1.35289731309533,1.33757352791113,1,8.37637423957188,8.2588876074354,3.16326177213823,37.7640931704588,1506.71654676227,1544.03612804633,8.33314412119274,4.94126172011415,13.2744058413069,0.012,0.818510694147,99.1266786280162,99.0733279299239,25.147413181404,0,0
465,R7_R8_R12_R15_R20_R30_f17_f18_f19,0.8,20,0.0477464829275686,19000,0.25,0.2,216.968870959443,216.928498842162,0.574244527640872,1.29594707197506,1.29594707197506,1.39613688992649,1,8.36968291273837,8.24488567240461,3.12959785594294,37.3920719407398,1506.51616659636,1542.81710510962,8.60323667287563,4.93708467297925,13.5403213458549,0.012,0.815737677012275,99.1092224892125,99.0560640939431,25.1500519396835,0,0
466,normal,0.8,20,0.0477464829275686,20000,0.25,0.2,217.278366290471,217.289331711761,0.402392731465961,0.512160969066414,0.512160969066414,1.23212194919943,1,8.36993099211753,8.12941931771286,2.78171791398839,33.2346576884338,1509.34508116956,1543.86638737389,9.36813539074194,4.80391245621314,14.1720478469551,0.012,0.793049501318437,99.0697808657981,99.018238048976,25.1537310761494,0,0
467,normal,0.8,20,0.0477464829275686,22000,0.25,0.2,218.459263154347,218.371619341131,0.2342583955796,1.22072364478258,1.22072364478258,0.74017302675871,1,8.41399179685284,7.90890170854393,1.88358956604291,22.3863965109574,1525.08557045466,1554.79307649744,9.84145365448648,4.64503471653127,14.4864883710178,0.012,0.75060871482491,99.0590574641847,99.0107853758867,25.1578429353082,0,0
468,normal,0.8,20,0.0477464829275686,24000,0.25,0.2,218.650012354854,218.71788255485,0.204833143757116,0.491770817815127,0.491770817815127,0.58278065688627,1,8.43496873152304,7.82819558465514,1.4749933666007,17.4866488963779,1529.58450232419,1555.80795450067,10.8084475366082,4.60280187236252,15.4112494089707,0.012,0.735367753339371,99.002505386071,98.9554058297232,25.1660111977085,1,0
469,normal,0.9,20,0.0308329028134462,2000,0.25,0.2,196.412515356067,194.000488135062,4.99152243237595,25.3549285596909,25.3549285596909,11.8179599386082,0,8.48969920773613,18.3405714523624,16.5074594121458,194.441039761498,1500.94515531312,1597.02521190356,3.12698129731014,24.1239980667417,27.2509793640518,0.012,4.03651873439053,98.2167878359535,97.9580452075095,25.251972598754,0,0
470,normal,0.9,20,0.0308329028134462,6000,0.25,0.2,216.839271689198,216.791954626873,0.554676453488317,2.05525553784554,2.05525553784554,1.45820244233024,1,9.41348420010658,9.78094175850344,3.70019519618194,39.3073926457543,1905.87833870251,1948.68472276771,4.42461686278872,6.99415564545604,11.4187725082448,0.012,1.14800186019884,99.4044338542275,99.3449500179691,25.1311890792563,0,0
471,normal,0.9,20,0.0308329028134462,10000,0.25,0.2,217.687194332252,217.668175311764,0.355509545205736,1.09774651724007,1.09774651724007,1.05992031283463,1,9.44650398452152,9.54261312823764,2.90305014840654,30.7314764611681,1919.44127490141,1958.00935323613,6.30566037992998,6.65655245886818,12.9622128387982,0.012,1.09273758378256,99.3292180995825,99.273081051905,25.143899497366,0,0
472,normal,0.9,20,0.0308329028134462,12000,0.25,0.2,218.389055348143,218.380581754906,0.194609700521173,0.748250890257866,0.748250890257866,0.736099202315627,1,9.47177870016491,9.50670374573135,2.68361758017457,28.3327732322109,1931.28506169113,1970.47172452694,6.70576667513539,6.48798893798187,13.1937556131173,0.012,1.08452899330923,99.321475991628,99.2661105261055,25.1466797436828,0,0
473,normal,0.9,20,0.0308329028134462,14000,0.25,0.2,218.629526507213,218.63031283898,0.148088314667599,0.589750882365287,0.589750882365287,0.622585073191095,1,9.48674081036583,9.38212317539524,2.1598008013362,22.7665206050139,1936.2316521278,1971.10998782592,7.16958212702142,6.4182003339655,13.5877824609869,0.012,1.05629082333946,99.3031261141444,99.2493589881932,25.1503606801526,0,0
474,normal,0.9,20,0.0308329028134462,16000,0.25,0.2,218.808029993202,218.817256879127,0.0845798726615746,0.426754096066937,0.426754096066937,0.537610509487779,1,9.49230728586038,9.29809296998019,1.72006407432987,18.1206109592771,1938.97342531035,1971.36737917752,8.30859714298572,6.37091142207658,14.6795085650623,0.012,1.03745439454074,99.2486122631852,99.1959359367642,25.1594127309761,1,0
